Wait Time / h,Jobs Run,Raw Used
0,110,28149.393
1,38,7941.947
2,34,11300.958
3,42,6268.231
4,28,6666.094
5,63,10529.41
6,9,433.04
7,1,120.001
8,6,818.587
9,8,7100.102
10,3,43.105
11,2,386.656
12,6,2740.339
13,15,3855.289
14,8,2606.968
15,14,3327.432
16,12,1793.072
17,3,118.29
19,2,632.444
20,1,113.319
21,1,72.875
22,1,186.222
26,1,15.002
28,2,1716.236
29,6,2165.74
30,1,192.067
31,2,779.207
32,2,1853.318
35,1,192.029
36,3,2746.189
38,1,1459.716
39,1,1459.716
40,5,6155.282
41,2,2419.133
44,2,576.03
46,1,3144.875
47,2,1012.051
51,1,192.024
53,1,192.062
58,4,768.098
59,1,1824.533
62,1,758.252
64,3,2208.791
65,1,843.694
67,4,1558.823
68,4,7450.507
69,1,1920.133
80,1,1927.167
83,1,2400.583
85,1,873.417
91,1,738.511
108,1,1408.107
131,1,1152.067
132,1,733.489
142,1,869.944
157,1,192.031
158,2,480.093
159,1,192.062
172,1,3125.261
