Wait Time / h,Jobs Run,Raw Used
0,534,23142.546
1,387,17971.636
2,145,5656.625
3,170,4640.952
4,208,10835.743
5,208,4811.675
6,112,1627.986
7,109,1945.251
8,123,866.889
9,75,848.945
10,55,2061.344
11,72,1936.633
12,80,1805.594
13,8,138.371
14,7,410.629
15,34,2825.069
16,51,2795.742
17,20,446.748
18,22,622.495
19,19,1038.117
20,15,789.569
21,17,235.842
22,26,426.231
23,3,601.681
24,6,224.786
25,5,135.477
26,22,531.016
27,19,2388.7
28,15,2504.303
30,3,45.529
32,1,183.276
33,1,192.027
34,8,426.196
35,21,1974.87
36,5,269.839
37,3,161.542
41,2,105.214
43,10,533.111
44,4,211.592
46,2,425.596
48,8,275.141
51,1,36.907
52,2,72.169
53,9,314.168
54,3,96.609
62,3,1920.404
66,4,112.302
67,6,269.142
68,11,2877.086
69,3,1507.393
