Wait Time / h,Jobs Run,Raw Used
0,393,63638.315
1,29,8561.834
2,5,1485.453
3,6,3587.472
4,5,1646.393
5,9,251.557
6,4,165.431
7,5,494.117
8,4,1247.106
14,1,227.402
16,1,1323.558
20,2,512.022
21,2,977.75
22,1,2.673
25,1,384.093
26,1,908.689
27,1,184.591
28,1,192.064
29,2,923.196
30,2,411.925
31,1,321.6
32,1,40.867
34,1,1334.722
40,3,2009.267
41,1,896.289
45,4,1709.023
46,2,384.04
48,1,404.382
50,1,280.91
52,1,432.125
72,2,480.033
74,1,288.017
81,1,79.01
83,13,9480.267
84,2,1535.662
85,1,614.649
87,1,878.556
88,2,2273.57
89,1,739.929
90,1,484.836
91,5,6200.853
92,1,762.791
94,1,657.227
106,1,752.464
119,1,865.528
120,1,192.022
121,1,192.02
122,1,1459.644
126,1,751.218
147,1,910.411
148,5,3814.891
212,6,1152.26
213,2,576.12
220,1,274.329
235,1,742.517
239,1,600.607
270,1,432.015
272,3,3648.873
275,1,947.556
277,1,96.004
279,8,4065.48
280,1,601.143
281,1,897.022
284,1,1536.373
286,1,733.297
287,1,555.097
288,1,968.889
290,1,2256.639
293,2,1919.644
295,1,897.889
296,1,2272.083
