Wait Time / h,Jobs Run,Raw Used
0,2212,83892.674
1,355,16216.088
2,274,6254.449
3,246,6873.603
4,218,5062.506
5,240,5355.812
6,149,5412.628
7,93,2911.438
8,86,3561.176
9,92,2239.732
10,41,1509.46
11,100,3469.196
12,47,1892.18
13,22,2002.23
14,26,396.508
15,33,1017.097
16,9,652.23
17,9,343.246
18,24,876.671
19,28,761.831
20,32,830.863
21,21,945.428
22,7,182.772
23,1,38.484
24,30,1268.306
25,12,593.686
26,9,258.369
27,6,650.931
28,33,1066.808
29,10,485.96
30,11,834.277
31,13,438.465
32,34,1287.661
33,4,121.673
34,6,186.577
35,5,225.137
36,23,895.658
37,10,479.126
38,4,142.363
39,4,133.332
40,11,392.251
41,13,409.182
42,9,404.278
43,1,58.981
46,5,366.773
48,11,438.642
49,18,205.558
50,1,67.773
51,2,129.382
53,6,359.14
54,3,169.41
55,3,227.651
57,2,70.862
58,3,256.501
59,4,249.187
60,1,66.32
63,2,265.772
64,5,463.514
65,7,459.168
67,2,86.111
68,2,105.127
69,1,70.388
75,2,141.161
78,6,419.56
79,1,53.932
81,1,75.609
82,2,124.336
83,5,368.622
86,1,90.698
87,1,54.757
90,6,440.902
92,2,100.941
93,2,115.08
94,2,128.489
95,1,81.769
96,1,89.018
97,1,64.526
98,3,192.956
99,1,54.662
100,1,58.604
101,2,134.524
102,2,132.24
103,1,41.408
104,1,49.259
105,3,175.937
108,1,64.746
110,1,96.262
113,2,76.341
114,1,42.029
115,1,59.809
116,2,104.19
117,1,55.968
118,5,210.064
119,9,378.323
120,1,73.583
122,1,63.294
124,1,75.461
125,1,93.62
157,8,502.37
172,3,166.164
173,2,142.544
174,2,119.239
183,1,84.816
186,1,36.082
191,5,278.43
196,1,35.291
197,1,55.547
200,1,38.264
203,1,43.161
204,3,213.291
208,1,61.468
210,2,120.266
213,1,47.386
219,2,82.561
223,2,104.497
225,1,64.446
226,1,44.694
228,2,145.147
230,1,96.017
233,1,79.29
238,1,55.238
239,1,71.059
241,1,41.281
246,1,74.154
247,1,61.312
252,2,98.81
254,1,39.066
257,1,63.481
269,1,64.199
282,1,96.011
283,1,51.096
