Wait Time / h,Jobs Run,Raw Used
0,1860,58855.921
1,584,37558.256
2,433,21158.519
3,312,8258.017
4,370,14044.992
5,219,8212.173
6,238,8616.388
7,244,5781.064
8,99,3459.931
9,67,1840.514
10,115,5451.171
11,110,5795.653
12,166,3916.15
13,139,4367.287
14,144,6295.688
15,112,2248.676
16,110,2121.836
17,59,1697.481
18,31,796.578
19,83,1584.477
20,43,1409.152
21,110,2639.002
22,61,751.424
23,36,1597.279
24,32,1618.296
25,49,1432.473
26,14,557.126
27,20,1055.667
28,21,603.818
29,7,298.671
30,7,62.241
31,10,412.231
32,13,270.964
33,2,137.667
34,1,68.973
36,8,64.03
37,13,104.053
39,2,537.956
40,1,277.695
41,5,1416.04
42,1,279.825
58,3,251.654
60,1,8.28
354,1,9671.253
